RecordingName,RecordingTimestamp,StudioEvent,StudioEventData,,,,
p31-ch-1107,122572,Default,122905,122905,,,cc-s
p31-ch-1107,122572,Default,122905,122905,,,dh-s
p31-ch-1107,129698,Default,130031,130031,,,dh-e
p31-ch-1107,129749,Default,130082,130082,,,zy-s
p31-ch-1107,162249,Default,162582,162582,,,zy-e
p31-ch-1107,241530,Default,241863,241863,,,dj20-s
p31-ch-1107,241530,Default,241863,241863,,,zhuan01-s
p31-ch-1107,271126,Default,271459,271459,,,lm-s
p31-ch-1107,276579,Default,276912,276912,,,lm-e
p31-ch-1107,284341,Default,284674,284674,,,py-s
p31-ch-1107,299363,Default,299696,299696,,,py-e
p31-ch-1107,310587,Default,310920,310920,,,yycz1-s
p31-ch-1107,418563,Default,418896,418896,,,yycz1-e
p31-ch-1107,423529,Default,423862,423862,,,yycz2-s
p31-ch-1107,446270,Default,446603,446603,,,wjs-s
p31-ch-1107,454481,Default,454814,454814,,,wjs-e
p31-ch-1107,524623,Default,524956,524956,,,dj20-e
p31-ch-1107,524623,Default,524956,524956,,,dj40-s
p31-ch-1107,624746,Default,625079,625079,,,yycz2-e
p31-ch-1107,654950,Default,655283,655283,,,yycz3-s
p31-ch-1107,689423,Default,689756,689756,,,dj40-e
p31-ch-1107,734768,Default,735101,735101,,,dj60-s
p31-ch-1107,834303,Default,834636,834636,,,yycz3-e
p31-ch-1107,843756,Default,844089,844089,,,yycz4-s
p31-ch-1107,949063,Default,949396,949396,,,sds-s
p31-ch-1107,952082,Default,952415,952415,,,sds-e
p31-ch-1107,1041030,Default,1041363,1041363,,,yycz4-e
p31-ch-1107,1043279,Default,1043612,1043612,,,dj60-e
p31-ch-1107,1062473,Default,1062806,1062806,,,dj80-s
p31-ch-1107,1068143,Default,1068476,1068476,,,djj-s
p31-ch-1107,1081835,Default,1082168,1082168,,,djj-e
p31-ch-1107,1092125,Default,1092458,1092458,,,blxz1-s
p31-ch-1107,1243804,Default,1244137,1244137,,,blxz1-e
p31-ch-1107,1255845,Default,1256178,1256178,,,blxz2-s
p31-ch-1107,1274066,Default,1274399,1274399,,,dj80-e
p31-ch-1107,1274117,Default,1274450,1274450,,,dj100-s
p31-ch-1107,1358990,Default,1359323,1359323,,,blxz2-e
p31-ch-1107,1364910,Default,1365243,1365243,,,blxz3-s
p31-ch-1107,1608290,Default,1608623,1608623,,,blxz3-e
p31-ch-1107,1611371,Default,1611704,1611704,,,dj100-e
p31-ch-1107,1617005,Default,1617338,1617338,,,zhuan01-e
p31-ch-1107,1617005,Default,1617338,1617338,,,zhuan12-s
p31-ch-1107,1617005,Default,1617338,1617338,,,dj120-s
p31-ch-1107,1617348,Default,1617681,1617681,,,blxz4-s
p31-ch-1107,1655368,Default,1655701,1655701,,,dj120-e
p31-ch-1107,1661442,Default,1661775,1661775,,,dj140-s
p31-ch-1107,1803452,Default,1803785,1803785,,,blxz4-e
p31-ch-1107,1806829,Default,1807162,1807162,,,dj140-e
p31-ch-1107,1806829,Default,1807162,1807162,,,dj160-s
p31-ch-1107,1807019,Default,1807352,1807352,,,blxz5-s
p31-ch-1107,2011646,Default,2011979,2011979,,,dj160-e
p31-ch-1107,2016761,Default,2017094,2017094,,,dj180-s
p31-ch-1107,2018745,Default,2019078,2019078,,,blxz5-e
p31-ch-1107,2046877,Default,2047210,2047210,,,blxz6-s
p31-ch-1107,2162720,Default,2163053,2163053,,,blxz6-e
p31-ch-1107,2165545,Default,2165878,2165878,,,blxz7-s
p31-ch-1107,2348761,Default,2349094,2349094,,,blxz7-e
p31-ch-1107,2352233,Default,2352566,2352566,,,dj180-e
p31-ch-1107,2352233,Default,2352566,2352566,,,dj200-s
p31-ch-1107,2462812,Default,2463145,2463145,,,dzwf-s
p31-ch-1107,2646782,Default,2647115,2647115,,,wlxt-s
p31-ch-1107,2755117,Default,2755450,2755450,,,wlxt-e
p31-ch-1107,2760506,Default,2760839,2760839,,,wtxt-s
p31-ch-1107,2773176,Default,2773509,2773509,,,wtxt-e
p31-ch-1107,2774328,Default,2774661,2774661,,,wlxt-s
p31-ch-1107,2797061,Default,2797394,2797394,,,wlxt-e
p31-ch-1107,2961826,Default,2962159,2962159,,,dzwf-e
p31-ch-1107,2999387,Default,2999720,2999720,,,dkwf-s
p31-ch-1107,3137487,Default,3137820,3137820,,,dj200-e
p31-ch-1107,3153575,Default,3153908,3153908,,,dkwf-e
p31-ch-1107,3210267,Default,3210600,3210600,,,cc-e
p31-ch-1107,3210267,Default,3210600,3210600,,,zhuan12-e
,,,,,,,
,,,,,,,
,,,,,,,
