ParticipantName,,,RecordingTimestamp,,,,StudioEventData
P01-kouwei-0502,,,8869,,,,kkc-s
P01-kouwei-0502,,,25404,,,,kkp-s
P01-kouwei-0502,,,97074,,,,ywkk-s
P01-kouwei-0502,,,126665,,,,ywkk-e
P01-kouwei-0502,,,126700,,,,kkp-e
P01-kouwei-0502,,,126734,,,,kkc-e
P01-kouwei-0502,,,130295,,,,bsc-s
P01-kouwei-0502,,,136146,,,,kgbs-s
P01-kouwei-0502,,,152210,,,,kgbs-e
P01-kouwei-0502,,,155848,,,,bsp-s
P01-kouwei-0502,,,206876,,,,ywbs-s
P01-kouwei-0502,,,259767,,,,ywbs-e
P01-kouwei-0502,,,259801,,,,bsp-e
P01-kouwei-0502,,,259836,,,,bsc-e
P01-kouwei-0502,,,638705,,,,xbq-s
P01-kouwei-0502,,,641316,,,,xbq-e
P01-kouwei-0502,,,641350,,,,xb-s
P01-kouwei-0502,,,649778,,,,ywxb-s
P01-kouwei-0502,,,666149,,,,ywxb-e
P01-kouwei-0502,,,666184,,,,xb-e
P01-kouwei-0502,,,671718,,,,bskq-s
P01-kouwei-0502,,,674164,,,,bskq-e
P01-kouwei-0502,,,674198,,,,bsk-s
P01-kouwei-0502,,,681301,,,,ywbsk-s
P01-kouwei-0502,,,691665,,,,ywbsk-e
P01-kouwei-0502,,,691699,,,,bsk-e
P01-kouwei-0502,,,693252,,,,kkkq-s
P01-kouwei-0502,,,696085,,,,kkkq-e
P01-kouwei-0502,,,696120,,,,kkk-s
P01-kouwei-0502,,,702044,,,,ywkkk-s
P01-kouwei-0502,,,722227,,,,ywkkk-e
P01-kouwei-0502,,,722261,,,,kkk-e
P01-kouwei-0502,,,723693,,,,tlsq-s
P01-kouwei-0502,,,727497,,,,tlsq-e
P01-kouwei-0502,,,727532,,,,tls-s
P01-kouwei-0502,,,734154,,,,ywtls-s
P01-kouwei-0502,,,743863,,,,ywtls-e
P01-kouwei-0502,,,743897,,,,tls-e
P01-kouwei-0502,,,747789,,,,ajq-s
P01-kouwei-0502,,,750720,,,,ajq-e
P01-kouwei-0502,,,750754,,,,aj-s
P01-kouwei-0502,,,756531,,,,ywaj-s
P01-kouwei-0502,,,765830,,,,ywaj-e
P01-kouwei-0502,,,765864,,,,aj-e
P01-kouwei-0502,,,767616,,,,odbq-s
P01-kouwei-0502,,,769903,,,,odbq-e
P01-kouwei-0502,,,769937,,,,odb-s
P01-kouwei-0502,,,774120,,,,ywodb-s
P01-kouwei-0502,,,785281,,,,ywodb-e
P01-kouwei-0502,,,785316,,,,odb-e
