ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p02-kw-0502,,,6265,,,,bsc-s
p02-kw-0502,,,11094,,,,kgbs-s
p02-kw-0502,,,17239,,,,kgbs-e
p02-kw-0502,,,20781,,,,bsp-s
p02-kw-0502,,,40982,,,,ywbs-s
p02-kw-0502,,,156950,,,,ywbs-e
p02-kw-0502,,,156985,,,,bsp-e
p02-kw-0502,,,157019,,,,bsc-e
p02-kw-0502,,,158688,,,,kkc-s
p02-kw-0502,,,160490,,,,kgkk-s
p02-kw-0502,,,167243,,,,kgkk-e
p02-kw-0502,,,169955,,,,kkp-s
p02-kw-0502,,,190504,,,,ywkk-s
p02-kw-0502,,,220935,,,,ywkk-e
p02-kw-0502,,,220970,,,,kkp-e
p02-kw-0502,,,221004,,,,kkc-e
p02-kw-0502,,,226159,,,,wljq-s
p02-kw-0502,,,227944,,,,wljq-e
p02-kw-0502,,,227979,,,,wlj-s
p02-kw-0502,,,234996,,,,ywwlj-s
p02-kw-0502,,,255283,,,,ywwlj-e
p02-kw-0502,,,255317,,,,wlj-e
p02-kw-0502,,,257261,,,,yzq-s
p02-kw-0502,,,258985,,,,yzq-e
p02-kw-0502,,,259019,,,,yz-s
p02-kw-0502,,,264793,,,,ywyz-s
p02-kw-0502,,,283557,,,,ywyz-e
p02-kw-0502,,,283591,,,,yz-e
p02-kw-0502,,,286273,,,,wtq-s
p02-kw-0502,,,287799,,,,wtq-e
p02-kw-0502,,,287834,,,,wt-s
p02-kw-0502,,,292418,,,,ywwt-s
p02-kw-0502,,,304200,,,,ywwt-e
p02-kw-0502,,,304234,,,,wt-e
p02-kw-0502,,,306902,,,,odbq-s
p02-kw-0502,,,308687,,,,odbq-e
p02-kw-0502,,,308721,,,,odb-s
p02-kw-0502,,,314858,,,,ywodb-s
p02-kw-0502,,,322240,,,,ywodb-e
p02-kw-0502,,,322274,,,,odb-e
p02-kw-0502,,,325391,,,,tlsq-s
p02-kw-0502,,,326615,,,,tlsq-e
p02-kw-0502,,,326650,,,,tls-s
p02-kw-0502,,,332727,,,,ywtls-s
p02-kw-0502,,,342571,,,,ywtls-e
p02-kw-0502,,,342605,,,,tls-e
p02-kw-0502,,,343868,,,,ajq-s
p02-kw-0502,,,345300,,,,ajq-e
p02-kw-0502,,,345335,,,,aj-s
p02-kw-0502,,,349936,,,,ywaj-s
p02-kw-0502,,,359861,,,,ywaj-e
p02-kw-0502,,,359896,,,,aj-e
p02-kw-0502,,,362048,,,,kkkq-s
p02-kw-0502,,,363313,,,,kkkq-e
p02-kw-0502,,,363347,,,,kkk-s
p02-kw-0502,,,368442,,,,ywkkk-s
p02-kw-0502,,,380197,,,,ywkkk-e
p02-kw-0502,,,380232,,,,kkk-e
p02-kw-0502,,,381581,,,,xbq-s
p02-kw-0502,,,382662,,,,xbq-e
p02-kw-0502,,,382697,,,,xb-s
p02-kw-0502,,,384423,,,,ywxb-s
p02-kw-0502,,,394951,,,,ywxb-e
p02-kw-0502,,,394985,,,,xb-e
p02-kw-0502,,,396702,,,,bskq-s
p02-kw-0502,,,397927,,,,bskq-e
p02-kw-0502,,,397961,,,,bsk-s
p02-kw-0502,,,400014,,,,ywbsk-s
p02-kw-0502,,,416174,,,,ywbsk-e
p02-kw-0502,,,416208,,,,bsk-e
p02-kw-0502,,,418096,,,,amxq-s
p02-kw-0502,,,420273,,,,amxq-e
p02-kw-0502,,,420308,,,,amx-s
p02-kw-0502,,,426485,,,,ywamx-s
p02-kw-0502,,,435999,,,,ywamx-e
p02-kw-0502,,,436033,,,,amx-e
p02-kw-0502,,,437354,,,,czq-s
p02-kw-0502,,,439172,,,,czq-e
p02-kw-0502,,,439207,,,,cz-s
p02-kw-0502,,,443092,,,,ywcz-s
p02-kw-0502,,,452469,,,,ywcz-e
p02-kw-0502,,,452504,,,,cz-e
p02-kw-0502,,,453848,,,,mslaq-s
p02-kw-0502,,,455488,,,,mslaq-e
p02-kw-0502,,,455522,,,,msla-s
p02-kw-0502,,,461786,,,,ywmsla-s
p02-kw-0502,,,473869,,,,ywmsla-e
p02-kw-0502,,,473903,,,,msla-e
