ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p13-kw-0516,,,5135,,,,kkc-s
p13-kw-0516,,,11551,,,,kgkk-s
p13-kw-0516,,,35735,,,,kgkk-e
p13-kw-0516,,,41375,,,,kkp-s
p13-kw-0516,,,102498,,,,ywkk-s
p13-kw-0516,,,212507,,,,ywkk-e
p13-kw-0516,,,212542,,,,kkp-e
p13-kw-0516,,,212576,,,,kkc-e
p13-kw-0516,,,216155,,,,bsc-s
p13-kw-0516,,,218627,,,,kgbs-s
p13-kw-0516,,,227530,,,,kgbs-e
p13-kw-0516,,,237473,,,,bsp-s
p13-kw-0516,,,291556,,,,ywbs-s
p13-kw-0516,,,374967,,,,ywbs-e
p13-kw-0516,,,375001,,,,bsp-e
p13-kw-0516,,,375035,,,,bsc-e
p13-kw-0516,,,381283,,,,yzq-s
p13-kw-0516,,,387563,,,,yzq-e
p13-kw-0516,,,387598,,,,yz-s
p13-kw-0516,,,400246,,,,ywyz-s
p13-kw-0516,,,441745,,,,ywyz-e
p13-kw-0516,,,441780,,,,yz-e
p13-kw-0516,,,475768,,,,wtq-s
p13-kw-0516,,,478541,,,,wtq-e
p13-kw-0516,,,478575,,,,wt-s
p13-kw-0516,,,489558,,,,ywwt-s
p13-kw-0516,,,517319,,,,ywwt-e
p13-kw-0516,,,517353,,,,wt-e
p13-kw-0516,,,524346,,,,wljq-s
p13-kw-0516,,,528106,,,,wljq-e
p13-kw-0516,,,528140,,,,wlj-s
p13-kw-0516,,,540631,,,,ywwlj-s
p13-kw-0516,,,563633,,,,ywwlj-e
p13-kw-0516,,,563667,,,,wlj-e
p13-kw-0516,,,570755,,,,czq-s
p13-kw-0516,,,577051,,,,czq-e
p13-kw-0516,,,577085,,,,cz-s
p13-kw-0516,,,597238,,,,ywcz-s
p13-kw-0516,,,622958,,,,ywcz-e
p13-kw-0516,,,622992,,,,cz-e
p13-kw-0516,,,628930,,,,amxq-s
p13-kw-0516,,,654052,,,,amxq-e
p13-kw-0516,,,654086,,,,amx-s
p13-kw-0516,,,668820,,,,ywamx-s
p13-kw-0516,,,713674,,,,ywamx-e
p13-kw-0516,,,713709,,,,amx-e
p13-kw-0516,,,715821,,,,mslaq-s
p13-kw-0516,,,720365,,,,mslaq-e
p13-kw-0516,,,720399,,,,msla-s
p13-kw-0516,,,734387,,,,ywmsla-s
p13-kw-0516,,,764595,,,,ywmsla-e
p13-kw-0516,,,764630,,,,msla-e
p13-kw-0516,,,766126,,,,tlsq-s
p13-kw-0516,,,770518,,,,tlsq-e
p13-kw-0516,,,770552,,,,tls-s
p13-kw-0516,,,787826,,,,ywtls-s
p13-kw-0516,,,815647,,,,ywtls-e
p13-kw-0516,,,815682,,,,tls-e
p13-kw-0516,,,817330,,,,odbq-s
p13-kw-0516,,,820936,,,,odbq-e
p13-kw-0516,,,820971,,,,odb-s
p13-kw-0516,,,836933,,,,ywodb-s
p13-kw-0516,,,855563,,,,ywodb-e
p13-kw-0516,,,855597,,,,odb-e
p13-kw-0516,,,856879,,,,ajq-s
p13-kw-0516,,,867792,,,,ajq-e
p13-kw-0516,,,867827,,,,aj-s
p13-kw-0516,,,885930,,,,ywaj-s
p13-kw-0516,,,909186,,,,ywaj-e
p13-kw-0516,,,909220,,,,aj-e
p13-kw-0516,,,910542,,,,bskq-s
p13-kw-0516,,,918966,,,,bskq-e
p13-kw-0516,,,919000,,,,bsk-s
p13-kw-0516,,,930080,,,,ywbsk-s
p13-kw-0516,,,958012,,,,ywbsk-e
p13-kw-0516,,,958046,,,,bsk-e
p13-kw-0516,,,960430,,,,kkkq-s
p13-kw-0516,,,963158,,,,kkkq-e
p13-kw-0516,,,963193,,,,kkk-s
p13-kw-0516,,,969341,,,,ywkkk-s
p13-kw-0516,,,988270,,,,ywkkk-e
p13-kw-0516,,,988305,,,,kkk-e
p13-kw-0516,,,990548,,,,xbq-s
p13-kw-0516,,,1027845,,,,xbq-e
p13-kw-0516,,,1027880,,,,xb-s
p13-kw-0516,,,1035976,,,,ywxb-s
p13-kw-0516,,,1081288,,,,ywxb-e
p13-kw-0516,,,1081322,,,,xb-e
