ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p14-kw-0516,,,4251,,,,bsc-s
p14-kw-0516,,,12570,,,,kgbs-s
p14-kw-0516,,,26410,,,,kgbs-e
p14-kw-0516,,,29743,,,,bsp-s
p14-kw-0516,,,69370,,,,ywbs-s
p14-kw-0516,,,96592,,,,ywbs-e
p14-kw-0516,,,96626,,,,bsp-e
p14-kw-0516,,,96661,,,,bsc-e
p14-kw-0516,,,102412,,,,kkc-s
p14-kw-0516,,,106255,,,,kgkk-s
p14-kw-0516,,,110788,,,,kgkk-e
p14-kw-0516,,,112530,,,,kkp-s
p14-kw-0516,,,134096,,,,ywkk-s
p14-kw-0516,,,155239,,,,ywkk-e
p14-kw-0516,,,155273,,,,kkp-e
p14-kw-0516,,,155308,,,,kkc-e
p14-kw-0516,,,161195,,,,wtq-s
p14-kw-0516,,,166954,,,,wtq-e
p14-kw-0516,,,166988,,,,wt-s
p14-kw-0516,,,177116,,,,ywwt-s
p14-kw-0516,,,207091,,,,ywwt-e
p14-kw-0516,,,207125,,,,wt-e
p14-kw-0516,,,211757,,,,yzq-s
p14-kw-0516,,,213996,,,,yzq-e
p14-kw-0516,,,214030,,,,yz-s
p14-kw-0516,,,216618,,,,ywyz-s
p14-kw-0516,,,227133,,,,ywyz-e
p14-kw-0516,,,227167,,,,yz-e
p14-kw-0516,,,235639,,,,wljq-s
p14-kw-0516,,,240918,,,,wljq-e
p14-kw-0516,,,240952,,,,wlj-s
p14-kw-0516,,,243881,,,,ywwlj-s
p14-kw-0516,,,254486,,,,ywwlj-e
p14-kw-0516,,,254520,,,,wlj-e
p14-kw-0516,,,256463,,,,odbq-s
p14-kw-0516,,,259001,,,,odbq-e
p14-kw-0516,,,259035,,,,odb-s
p14-kw-0516,,,261654,,,,ywodb-s
p14-kw-0516,,,274408,,,,ywodb-e
p14-kw-0516,,,274443,,,,odb-e
p14-kw-0516,,,276397,,,,ajq-s
p14-kw-0516,,,279996,,,,ajq-e
p14-kw-0516,,,280030,,,,aj-s
p14-kw-0516,,,285234,,,,ywaj-s
p14-kw-0516,,,298127,,,,ywaj-e
p14-kw-0516,,,298161,,,,aj-e
p14-kw-0516,,,298974,,,,tlsq-s
p14-kw-0516,,,303992,,,,tlsq-e
p14-kw-0516,,,304026,,,,tls-s
p14-kw-0516,,,305609,,,,ywtls-s
p14-kw-0516,,,317137,,,,ywtls-e
p14-kw-0516,,,317172,,,,tls-e
p14-kw-0516,,,322851,,,,xbq-s
p14-kw-0516,,,325179,,,,xbq-e
p14-kw-0516,,,325213,,,,xb-s
p14-kw-0516,,,328910,,,,ywxb-s
p14-kw-0516,,,344309,,,,ywxb-e
p14-kw-0516,,,344344,,,,xb-e
p14-kw-0516,,,346235,,,,bskq-s
p14-kw-0516,,,348788,,,,bskq-e
p14-kw-0516,,,348823,,,,bsk-s
p14-kw-0516,,,351356,,,,ywbsk-s
p14-kw-0516,,,367298,,,,ywbsk-e
p14-kw-0516,,,367332,,,,bsk-e
p14-kw-0516,,,370116,,,,kkkq-s
p14-kw-0516,,,373172,,,,kkkq-e
p14-kw-0516,,,373206,,,,kkk-s
p14-kw-0516,,,375288,,,,ywkkk-s
p14-kw-0516,,,388982,,,,ywkkk-e
p14-kw-0516,,,389017,,,,kkk-e
p14-kw-0516,,,390816,,,,mslaq-s
p14-kw-0516,,,399473,,,,mslaq-e
p14-kw-0516,,,399507,,,,msla-s
p14-kw-0516,,,404817,,,,ywmsla-s
p14-kw-0516,,,417449,,,,ywmsla-e
p14-kw-0516,,,417483,,,,msla-e
p14-kw-0516,,,423650,,,,amxq-s
p14-kw-0516,,,432390,,,,amxq-e
p14-kw-0516,,,432424,,,,amx-s
p14-kw-0516,,,434912,,,,ywamx-s
p14-kw-0516,,,447948,,,,ywamx-e
p14-kw-0516,,,447982,,,,amx-e
p14-kw-0516,,,448960,,,,czq-s
p14-kw-0516,,,452802,,,,czq-e
p14-kw-0516,,,452837,,,,cz-s
p14-kw-0516,,,463042,,,,ywcz-s
p14-kw-0516,,,488594,,,,ywcz-e
p14-kw-0516,,,488628,,,,cz-e
