ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p16-kw-0517,,,12777,,,,kkc-s
p16-kw-0517,,,22450,,,,kgkk-s
p16-kw-0517,,,26712,,,,kgkk-e
p16-kw-0517,,,29927,,,,kkp-s
p16-kw-0517,,,38752,,,,ywkk-s
p16-kw-0517,,,110208,,,,ywkk-e
p16-kw-0517,,,110243,,,,kkp-e
p16-kw-0517,,,110277,,,,kkc-e
p16-kw-0517,,,113646,,,,bsc-s
p16-kw-0517,,,118144,,,,kgbs-s
p16-kw-0517,,,125287,,,,kgbs-e
p16-kw-0517,,,129346,,,,bsp-s
p16-kw-0517,,,135505,,,,ywbs-s
p16-kw-0517,,,205612,,,,ywbs-e
p16-kw-0517,,,205646,,,,bsp-e
p16-kw-0517,,,205681,,,,bsc-e
p16-kw-0517,,,240125,,,,tlsq-s
p16-kw-0517,,,242862,,,,tlsq-e
p16-kw-0517,,,242896,,,,tls-s
p16-kw-0517,,,252575,,,,ywtls-s
p16-kw-0517,,,281359,,,,ywtls-e
p16-kw-0517,,,281393,,,,tls-e
p16-kw-0517,,,284924,,,,odbq-s
p16-kw-0517,,,286653,,,,odbq-e
p16-kw-0517,,,286688,,,,odb-s
p16-kw-0517,,,298368,,,,ywodb-s
p16-kw-0517,,,338899,,,,ywodb-e
p16-kw-0517,,,338933,,,,odb-e
p16-kw-0517,,,342826,,,,ajq-s
p16-kw-0517,,,345842,,,,ajq-e
p16-kw-0517,,,345876,,,,aj-s
p16-kw-0517,,,351295,,,,ywaj-s
p16-kw-0517,,,402092,,,,ywaj-e
p16-kw-0517,,,402126,,,,aj-e
p16-kw-0517,,,404774,,,,bskq-s
p16-kw-0517,,,407913,,,,bskq-e
p16-kw-0517,,,407948,,,,bsk-s
p16-kw-0517,,,416458,,,,ywbsk-s
p16-kw-0517,,,460342,,,,ywbsk-e
p16-kw-0517,,,460376,,,,bsk-e
p16-kw-0517,,,463096,,,,kkkq-s
p16-kw-0517,,,465695,,,,kkkq-e
p16-kw-0517,,,465729,,,,kkk-s
p16-kw-0517,,,473890,,,,ywkkk-s
p16-kw-0517,,,548930,,,,ywkkk-e
p16-kw-0517,,,548965,,,,kkk-e
p16-kw-0517,,,551476,,,,xbq-s
p16-kw-0517,,,554476,,,,xbq-e
p16-kw-0517,,,554510,,,,xb-s
p16-kw-0517,,,559144,,,,ywxb-s
p16-kw-0517,,,623759,,,,ywxb-e
p16-kw-0517,,,623794,,,,xb-e
p16-kw-0517,,,627163,,,,czq-s
p16-kw-0517,,,629308,,,,czq-e
p16-kw-0517,,,629343,,,,cz-s
p16-kw-0517,,,643815,,,,ywcz-s
p16-kw-0517,,,714262,,,,ywcz-e
p16-kw-0517,,,714296,,,,cz-e
p16-kw-0517,,,716655,,,,amxq-s
p16-kw-0517,,,722192,,,,amxq-e
p16-kw-0517,,,722227,,,,amx-s
p16-kw-0517,,,738753,,,,ywamx-s
p16-kw-0517,,,788321,,,,ywamx-e
p16-kw-0517,,,788355,,,,amx-e
p16-kw-0517,,,791080,,,,mslaq-s
p16-kw-0517,,,794368,,,,mslaq-e
p16-kw-0517,,,794402,,,,msla-s
p16-kw-0517,,,821145,,,,ywmsla-s
p16-kw-0517,,,859835,,,,ywmsla-e
p16-kw-0517,,,859870,,,,msla-e
p16-kw-0517,,,863196,,,,yzq-s
p16-kw-0517,,,865268,,,,yzq-e
p16-kw-0517,,,865303,,,,yz-s
p16-kw-0517,,,884514,,,,ywyz-s
p16-kw-0517,,,924176,,,,ywyz-e
p16-kw-0517,,,924210,,,,yz-e
p16-kw-0517,,,926720,,,,wljq-s
p16-kw-0517,,,930007,,,,wljq-e
p16-kw-0517,,,930041,,,,wlj-s
p16-kw-0517,,,940828,,,,ywwlj-s
p16-kw-0517,,,989284,,,,ywwlj-e
p16-kw-0517,,,989319,,,,wlj-e
p16-kw-0517,,,992047,,,,wtq-s
p16-kw-0517,,,995283,,,,wtq-e
p16-kw-0517,,,995317,,,,wt-s
p16-kw-0517,,,1005455,,,,ywwt-s
p16-kw-0517,,,1088276,,,,ywwt-e
p16-kw-0517,,,1088310,,,,wt-e
