ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p09-kw-0504,,,6292,,,,bsc-s
p09-kw-0504,,,13012,,,,kgbs-s
p09-kw-0504,,,17049,,,,kgbs-e
p09-kw-0504,,,18530,,,,bsp-s
p09-kw-0504,,,48820,,,,ywbs-s
p09-kw-0504,,,101456,,,,ywbs-e
p09-kw-0504,,,101490,,,,bsp-e
p09-kw-0504,,,101524,,,,bsc-e
p09-kw-0504,,,105469,,,,kkc-s
p09-kw-0504,,,108877,,,,kgkk-s
p09-kw-0504,,,116906,,,,kgkk-e
p09-kw-0504,,,118809,,,,kkp-s
p09-kw-0504,,,141132,,,,ywkk-s
p09-kw-0504,,,167655,,,,ywkk-e
p09-kw-0504,,,167689,,,,kkp-e
p09-kw-0504,,,167724,,,,kkc-e
p09-kw-0504,,,171445,,,,czq-s
p09-kw-0504,,,175031,,,,czq-e
p09-kw-0504,,,175065,,,,cz-s
p09-kw-0504,,,195802,,,,ywcz-s
p09-kw-0504,,,216277,,,,ywcz-e
p09-kw-0504,,,216311,,,,cz-e
p09-kw-0504,,,217311,,,,mslaq-s
p09-kw-0504,,,221646,,,,mslaq-e
p09-kw-0504,,,221680,,,,msla-s
p09-kw-0504,,,240062,,,,ywmsla-s
p09-kw-0504,,,259150,,,,ywmsla-e
p09-kw-0504,,,259184,,,,msla-e
p09-kw-0504,,,260358,,,,amxq-s
p09-kw-0504,,,261868,,,,amxq-e
p09-kw-0504,,,261903,,,,amx-s
p09-kw-0504,,,285215,,,,ywamx-s
p09-kw-0504,,,303523,,,,ywamx-e
p09-kw-0504,,,303557,,,,amx-e
p09-kw-0504,,,305096,,,,bskq-s
p09-kw-0504,,,306986,,,,bskq-e
p09-kw-0504,,,307020,,,,bsk-s
p09-kw-0504,,,318311,,,,ywbsk-s
p09-kw-0504,,,329697,,,,ywbsk-e
p09-kw-0504,,,329731,,,,bsk-e
p09-kw-0504,,,331415,,,,xbq-s
p09-kw-0504,,,333711,,,,xbq-e
p09-kw-0504,,,333745,,,,xb-s
p09-kw-0504,,,344217,,,,ywxb-s
p09-kw-0504,,,356193,,,,ywxb-e
p09-kw-0504,,,356228,,,,xb-e
p09-kw-0504,,,358575,,,,kkkq-s
p09-kw-0504,,,360006,,,,kkkq-e
p09-kw-0504,,,360040,,,,kkk-s
p09-kw-0504,,,370680,,,,ywkkk-s
p09-kw-0504,,,386876,,,,ywkkk-e
p09-kw-0504,,,386910,,,,kkk-e
p09-kw-0504,,,388391,,,,odbq-s
p09-kw-0504,,,389799,,,,odbq-e
p09-kw-0504,,,389833,,,,odb-s
p09-kw-0504,,,402934,,,,ywodb-s
p09-kw-0504,,,414743,,,,ywodb-e
p09-kw-0504,,,414777,,,,odb-e
p09-kw-0504,,,416087,,,,tlsq-s
p09-kw-0504,,,417337,,,,tlsq-e
p09-kw-0504,,,417371,,,,tls-s
p09-kw-0504,,,431232,,,,ywtls-s
p09-kw-0504,,,436794,,,,ywtls-e
p09-kw-0504,,,436828,,,,tls-e
p09-kw-0504,,,438771,,,,ajq-s
p09-kw-0504,,,440003,,,,ajq-e
p09-kw-0504,,,440037,,,,aj-s
p09-kw-0504,,,451603,,,,ywaj-s
p09-kw-0504,,,460635,,,,ywaj-e
p09-kw-0504,,,460669,,,,aj-e
p09-kw-0504,,,462398,,,,wljq-s
p09-kw-0504,,,464566,,,,wljq-e
p09-kw-0504,,,464600,,,,wlj-s
p09-kw-0504,,,473393,,,,ywwlj-s
p09-kw-0504,,,483608,,,,ywwlj-e
p09-kw-0504,,,483642,,,,wlj-e
p09-kw-0504,,,484596,,,,yzq-s
p09-kw-0504,,,485921,,,,yzq-e
p09-kw-0504,,,485956,,,,yz-s
p09-kw-0504,,,492774,,,,ywyz-s
p09-kw-0504,,,502520,,,,ywyz-e
p09-kw-0504,,,502555,,,,yz-e
p09-kw-0504,,,504082,,,,wtq-s
p09-kw-0504,,,505890,,,,wtq-e
p09-kw-0504,,,505924,,,,wt-s
p09-kw-0504,,,510376,,,,ywwt-s
p09-kw-0504,,,521773,,,,ywwt-e
p09-kw-0504,,,521808,,,,wt-e
