ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p10-kw-0504,,,4058,,,,kkc-s
p10-kw-0504,,,9858,,,,kgkk-s
p10-kw-0504,,,18672,,,,kgkk-e
p10-kw-0504,,,24065,,,,kkp-s
p10-kw-0504,,,62083,,,,ywkk-s
p10-kw-0504,,,99269,,,,ywkk-e
p10-kw-0504,,,99303,,,,kkp-e
p10-kw-0504,,,99337,,,,kkc-e
p10-kw-0504,,,102170,,,,bsc-s
p10-kw-0504,,,106994,,,,kgbs-s
p10-kw-0504,,,119553,,,,kgbs-e
p10-kw-0504,,,123394,,,,bsp-s
p10-kw-0504,,,134121,,,,ywbs-s
p10-kw-0504,,,164768,,,,ywbs-e
p10-kw-0504,,,164802,,,,bsp-e
p10-kw-0504,,,164836,,,,bsc-e
p10-kw-0504,,,167882,,,,kkkq-s
p10-kw-0504,,,170771,,,,kkkq-e
p10-kw-0504,,,170805,,,,kkk-s
p10-kw-0504,,,186171,,,,ywkkk-s
p10-kw-0504,,,215038,,,,ywkkk-e
p10-kw-0504,,,215072,,,,kkk-e
p10-kw-0504,,,216957,,,,bskq-s
p10-kw-0504,,,219376,,,,bskq-e
p10-kw-0504,,,219411,,,,bsk-s
p10-kw-0504,,,227093,,,,ywbsk-s
p10-kw-0504,,,254116,,,,ywbsk-e
p10-kw-0504,,,254150,,,,bsk-e
p10-kw-0504,,,256126,,,,xbq-s
p10-kw-0504,,,259134,,,,xbq-e
p10-kw-0504,,,259169,,,,xb-s
p10-kw-0504,,,265029,,,,ywxb-s
p10-kw-0504,,,290515,,,,ywxb-e
p10-kw-0504,,,290549,,,,xb-e
p10-kw-0504,,,291828,,,,czq-s
p10-kw-0504,,,295160,,,,czq-e
p10-kw-0504,,,295194,,,,cz-s
p10-kw-0504,,,315482,,,,ywcz-s
p10-kw-0504,,,336217,,,,ywcz-e
p10-kw-0504,,,336251,,,,cz-e
p10-kw-0504,,,337674,,,,mslaq-s
p10-kw-0504,,,340122,,,,mslaq-e
p10-kw-0504,,,340157,,,,msla-s
p10-kw-0504,,,351322,,,,ywmsla-s
p10-kw-0504,,,371761,,,,ywmsla-e
p10-kw-0504,,,371796,,,,msla-e
p10-kw-0504,,,373637,,,,amxq-s
p10-kw-0504,,,375780,,,,amxq-e
p10-kw-0504,,,375814,,,,amx-s
p10-kw-0504,,,388348,,,,ywamx-s
p10-kw-0504,,,407550,,,,ywamx-e
p10-kw-0504,,,407584,,,,amx-e
p10-kw-0504,,,409162,,,,wljq-s
p10-kw-0504,,,410746,,,,wljq-e
p10-kw-0504,,,410781,,,,wlj-s
p10-kw-0504,,,416569,,,,ywwlj-s
p10-kw-0504,,,432207,,,,ywwlj-e
p10-kw-0504,,,432241,,,,wlj-e
p10-kw-0504,,,433081,,,,yzq-s
p10-kw-0504,,,434967,,,,yzq-e
p10-kw-0504,,,435002,,,,yz-s
p10-kw-0504,,,435928,,,,ywyz-s
p10-kw-0504,,,450480,,,,ywyz-e
p10-kw-0504,,,450514,,,,yz-e
p10-kw-0504,,,451576,,,,wtq-s
p10-kw-0504,,,453216,,,,wtq-e
p10-kw-0504,,,453251,,,,wt-s
p10-kw-0504,,,454242,,,,ywwt-s
p10-kw-0504,,,521289,,,,ywwt-e
p10-kw-0504,,,521323,,,,wt-e
p10-kw-0504,,,522899,,,,tlsq-s
p10-kw-0504,,,524067,,,,tlsq-e
p10-kw-0504,,,524101,,,,tls-s
p10-kw-0504,,,525271,,,,ywtls-s
p10-kw-0504,,,545991,,,,ywtls-e
p10-kw-0504,,,546025,,,,tls-e
p10-kw-0504,,,547529,,,,ajq-s
p10-kw-0504,,,549003,,,,ajq-e
p10-kw-0504,,,549038,,,,aj-s
p10-kw-0504,,,550064,,,,ywaj-s
p10-kw-0504,,,567061,,,,ywaj-e
p10-kw-0504,,,567095,,,,aj-e
p10-kw-0504,,,568307,,,,odbq-s
p10-kw-0504,,,570090,,,,odbq-e
p10-kw-0504,,,570124,,,,odb-s
p10-kw-0504,,,571018,,,,ywodb-s
p10-kw-0504,,,593978,,,,ywodb-e
p10-kw-0504,,,594013,,,,odb-e
