ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p19-kw-0522,,,7068,,,,kkc-s
p19-kw-0522,,,12169,,,,kgkk-s
p19-kw-0522,,,25666,,,,kgkk-e
p19-kw-0522,,,27785,,,,kkp-s
p19-kw-0522,,,90592,,,,ywkk-s
p19-kw-0522,,,142719,,,,ywkk-e
p19-kw-0522,,,142753,,,,kkp-e
p19-kw-0522,,,142788,,,,kkc-e
p19-kw-0522,,,144216,,,,bsc-s
p19-kw-0522,,,147259,,,,kgbs-s
p19-kw-0522,,,159337,,,,kgbs-e
p19-kw-0522,,,162036,,,,bsp-s
p19-kw-0522,,,203292,,,,ywbs-s
p19-kw-0522,,,244050,,,,ywbs-e
p19-kw-0522,,,244084,,,,bsp-e
p19-kw-0522,,,244119,,,,bsc-e
p19-kw-0522,,,258485,,,,kkkq-s
p19-kw-0522,,,263136,,,,kkkq-e
p19-kw-0522,,,263170,,,,kkk-s
p19-kw-0522,,,265155,,,,ywkkk-s
p19-kw-0522,,,295506,,,,ywkkk-e
p19-kw-0522,,,295541,,,,kkk-e
p19-kw-0522,,,297494,,,,xbq-s
p19-kw-0522,,,298512,,,,xbq-e
p19-kw-0522,,,298546,,,,xb-s
p19-kw-0522,,,300721,,,,ywxb-s
p19-kw-0522,,,321720,,,,ywxb-e
p19-kw-0522,,,321754,,,,xb-e
p19-kw-0522,,,324170,,,,bskq-s
p19-kw-0522,,,325209,,,,bskq-e
p19-kw-0522,,,325244,,,,bsk-s
p19-kw-0522,,,327010,,,,ywbsk-s
p19-kw-0522,,,344734,,,,ywbsk-e
p19-kw-0522,,,344768,,,,bsk-e
p19-kw-0522,,,346776,,,,czq-s
p19-kw-0522,,,348368,,,,czq-e
p19-kw-0522,,,348402,,,,cz-s
p19-kw-0522,,,352406,,,,ywcz-s
p19-kw-0522,,,382488,,,,ywcz-e
p19-kw-0522,,,382522,,,,cz-e
p19-kw-0522,,,384831,,,,amxq-s
p19-kw-0522,,,392947,,,,amxq-e
p19-kw-0522,,,392981,,,,amx-s
p19-kw-0522,,,398243,,,,ywamx-s
p19-kw-0522,,,415439,,,,ywamx-e
p19-kw-0522,,,415473,,,,amx-e
p19-kw-0522,,,417977,,,,mslaq-s
p19-kw-0522,,,419477,,,,mslaq-e
p19-kw-0522,,,419512,,,,msla-s
p19-kw-0522,,,423443,,,,ywmsla-s
p19-kw-0522,,,440097,,,,ywmsla-e
p19-kw-0522,,,440132,,,,msla-e
p19-kw-0522,,,441756,,,,yzq-s
p19-kw-0522,,,443310,,,,yzq-e
p19-kw-0522,,,443344,,,,yz-s
p19-kw-0522,,,444556,,,,ywyz-s
p19-kw-0522,,,476407,,,,ywyz-e
p19-kw-0522,,,476442,,,,yz-e
p19-kw-0522,,,478753,,,,wtq-s
p19-kw-0522,,,479905,,,,wtq-e
p19-kw-0522,,,479939,,,,wt-s
p19-kw-0522,,,481434,,,,ywwt-s
p19-kw-0522,,,507639,,,,ywwt-e
p19-kw-0522,,,507673,,,,wt-e
p19-kw-0522,,,509776,,,,wljq-s
p19-kw-0522,,,511055,,,,wljq-e
p19-kw-0522,,,511089,,,,wlj-s
p19-kw-0522,,,512483,,,,ywwlj-s
p19-kw-0522,,,527572,,,,ywwlj-e
p19-kw-0522,,,527606,,,,wlj-e
p19-kw-0522,,,529567,,,,ajq-s
p19-kw-0522,,,531089,,,,ajq-e
p19-kw-0522,,,531124,,,,aj-s
p19-kw-0522,,,532919,,,,ywaj-s
p19-kw-0522,,,549063,,,,ywaj-e
p19-kw-0522,,,549097,,,,aj-e
p19-kw-0522,,,551817,,,,tlsq-s
p19-kw-0522,,,552948,,,,tlsq-e
p19-kw-0522,,,552983,,,,tls-s
p19-kw-0522,,,555248,,,,ywtls-s
p19-kw-0522,,,570635,,,,ywtls-e
p19-kw-0522,,,570669,,,,tls-e
p19-kw-0522,,,572858,,,,odbq-s
p19-kw-0522,,,574208,,,,odbq-e
p19-kw-0522,,,574243,,,,odb-s
p19-kw-0522,,,575438,,,,ywodb-s
p19-kw-0522,,,601598,,,,ywodb-e
p19-kw-0522,,,601632,,,,odb-e
