ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p03-kw-0503,,,11622,,,,kkc-s
p03-kw-0503,,,15917,,,,kgkk-s
p03-kw-0503,,,20107,,,,kgkk-e
p03-kw-0503,,,22468,,,,kkp-s
p03-kw-0503,,,46016,,,,ywkk-s
p03-kw-0503,,,82641,,,,ywkk-e
p03-kw-0503,,,82676,,,,kkp-e
p03-kw-0503,,,82710,,,,kkc-e
p03-kw-0503,,,112076,,,,bsc-s
p03-kw-0503,,,115239,,,,kgbs-s
p03-kw-0503,,,127223,,,,kgbs-e
p03-kw-0503,,,130279,,,,bsp-s
p03-kw-0503,,,149649,,,,ywbs-s
p03-kw-0503,,,201989,,,,ywbs-e
p03-kw-0503,,,202023,,,,bsp-e
p03-kw-0503,,,202058,,,,bsc-e
p03-kw-0503,,,222536,,,,tlsq-s
p03-kw-0503,,,226096,,,,tlsq-e
p03-kw-0503,,,226130,,,,tls-s
p03-kw-0503,,,240347,,,,ywtls-s
p03-kw-0503,,,275894,,,,ywtls-e
p03-kw-0503,,,275928,,,,tls-e
p03-kw-0503,,,294968,,,,odbq-s
p03-kw-0503,,,297135,,,,odbq-e
p03-kw-0503,,,297170,,,,odb-s
p03-kw-0503,,,315035,,,,ywodb-s
p03-kw-0503,,,351713,,,,ywodb-e
p03-kw-0503,,,351747,,,,odb-e
p03-kw-0503,,,369090,,,,ajq-s
p03-kw-0503,,,372050,,,,ajq-e
p03-kw-0503,,,372084,,,,aj-s
p03-kw-0503,,,385670,,,,ywaj-s
p03-kw-0503,,,419774,,,,ywaj-e
p03-kw-0503,,,419808,,,,aj-e
p03-kw-0503,,,431720,,,,wljq-s
p03-kw-0503,,,434080,,,,wljq-e
p03-kw-0503,,,434115,,,,wlj-s
p03-kw-0503,,,441427,,,,ywwlj-s
p03-kw-0503,,,483098,,,,ywwlj-e
p03-kw-0503,,,483132,,,,wlj-e
p03-kw-0503,,,499035,,,,wtq-s
p03-kw-0503,,,501223,,,,wtq-e
p03-kw-0503,,,501258,,,,wt-s
p03-kw-0503,,,510971,,,,ywwt-s
p03-kw-0503,,,536816,,,,ywwt-e
p03-kw-0503,,,536850,,,,wt-e
p03-kw-0503,,,550008,,,,yzq-s
p03-kw-0503,,,556023,,,,yzq-e
p03-kw-0503,,,556058,,,,yz-s
p03-kw-0503,,,564499,,,,ywyz-s
p03-kw-0503,,,590782,,,,ywyz-e
p03-kw-0503,,,590816,,,,yz-e
p03-kw-0503,,,602408,,,,amxq-s
p03-kw-0503,,,606080,,,,amxq-e
p03-kw-0503,,,606114,,,,amx-s
p03-kw-0503,,,625144,,,,ywamx-s
p03-kw-0503,,,650274,,,,ywamx-e
p03-kw-0503,,,650309,,,,amx-e
p03-kw-0503,,,665108,,,,czq-s
p03-kw-0503,,,666902,,,,czq-e
p03-kw-0503,,,666936,,,,cz-s
p03-kw-0503,,,677799,,,,ywcz-s
p03-kw-0503,,,698847,,,,ywcz-e
p03-kw-0503,,,698881,,,,cz-e
p03-kw-0503,,,710633,,,,mslaq-s
p03-kw-0503,,,713896,,,,mslaq-e
p03-kw-0503,,,713931,,,,msla-s
p03-kw-0503,,,729236,,,,ywmsla-s
p03-kw-0503,,,750941,,,,ywmsla-e
p03-kw-0503,,,750975,,,,msla-e
p03-kw-0503,,,760959,,,,bskq-s
p03-kw-0503,,,763695,,,,bskq-e
p03-kw-0503,,,763729,,,,bsk-s
p03-kw-0503,,,769925,,,,ywbsk-s
p03-kw-0503,,,789340,,,,ywbsk-e
p03-kw-0503,,,789374,,,,bsk-e
p03-kw-0503,,,800797,,,,kkkq-s
p03-kw-0503,,,805048,,,,kkkq-e
p03-kw-0503,,,805083,,,,kkk-s
p03-kw-0503,,,810744,,,,ywkkk-s
p03-kw-0503,,,833510,,,,ywkkk-e
p03-kw-0503,,,833544,,,,kkk-e
p03-kw-0503,,,847130,,,,xbq-s
p03-kw-0503,,,850102,,,,xbq-e
p03-kw-0503,,,850136,,,,xb-s
p03-kw-0503,,,856159,,,,ywxb-s
p03-kw-0503,,,868573,,,,ywxb-e
p03-kw-0503,,,868608,,,,xb-e
