ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p15-kw-0516,,,9739,,,,kkc-s
p15-kw-0516,,,17074,,,,kgkk-s
p15-kw-0516,,,24801,,,,kgkk-e
p15-kw-0516,,,27369,,,,kkp-s
p15-kw-0516,,,52833,,,,ywkk-s
p15-kw-0516,,,72752,,,,ywkk-e
p15-kw-0516,,,72786,,,,kkp-e
p15-kw-0516,,,72820,,,,kkc-e
p15-kw-0516,,,76848,,,,bsc-s
p15-kw-0516,,,78953,,,,kgbs-s
p15-kw-0516,,,89208,,,,kgbs-e
p15-kw-0516,,,93282,,,,bsp-s
p15-kw-0516,,,104568,,,,ywbs-s
p15-kw-0516,,,127263,,,,ywbs-e
p15-kw-0516,,,127297,,,,bsp-e
p15-kw-0516,,,127331,,,,bsc-e
p15-kw-0516,,,139217,,,,czq-s
p15-kw-0516,,,143738,,,,czq-e
p15-kw-0516,,,143773,,,,cz-s
p15-kw-0516,,,156341,,,,ywcz-s
p15-kw-0516,,,167961,,,,ywcz-e
p15-kw-0516,,,167995,,,,cz-e
p15-kw-0516,,,170323,,,,mslaq-s
p15-kw-0516,,,175399,,,,mslaq-e
p15-kw-0516,,,175433,,,,msla-s
p15-kw-0516,,,187481,,,,ywmsla-s
p15-kw-0516,,,194971,,,,ywmsla-e
p15-kw-0516,,,195005,,,,msla-e
p15-kw-0516,,,203893,,,,amxq-s
p15-kw-0516,,,205160,,,,amxq-e
p15-kw-0516,,,205194,,,,amx-s
p15-kw-0516,,,214090,,,,ywamx-s
p15-kw-0516,,,224574,,,,ywamx-e
p15-kw-0516,,,224609,,,,amx-e
p15-kw-0516,,,229955,,,,odbq-s
p15-kw-0516,,,232191,,,,odbq-e
p15-kw-0516,,,232225,,,,odb-s
p15-kw-0516,,,238517,,,,ywodb-s
p15-kw-0516,,,248444,,,,ywodb-e
p15-kw-0516,,,248478,,,,odb-e
p15-kw-0516,,,250486,,,,tlsq-s
p15-kw-0516,,,252206,,,,tlsq-e
p15-kw-0516,,,252241,,,,tls-s
p15-kw-0516,,,255171,,,,ywtls-s
p15-kw-0516,,,265202,,,,ywtls-e
p15-kw-0516,,,265237,,,,tls-e
p15-kw-0516,,,267173,,,,ajq-s
p15-kw-0516,,,268868,,,,ajq-e
p15-kw-0516,,,268902,,,,aj-s
p15-kw-0516,,,273041,,,,ywaj-s
p15-kw-0516,,,282796,,,,ywaj-e
p15-kw-0516,,,282831,,,,aj-e
p15-kw-0516,,,285716,,,,kkkq-s
p15-kw-0516,,,288040,,,,kkkq-e
p15-kw-0516,,,288074,,,,kkk-s
p15-kw-0516,,,294609,,,,ywkkk-s
p15-kw-0516,,,302889,,,,ywkkk-e
p15-kw-0516,,,302923,,,,kkk-e
p15-kw-0516,,,305691,,,,xbq-s
p15-kw-0516,,,307255,,,,xbq-e
p15-kw-0516,,,307289,,,,xb-s
p15-kw-0516,,,312287,,,,ywxb-s
p15-kw-0516,,,320437,,,,ywxb-e
p15-kw-0516,,,320471,,,,xb-e
p15-kw-0516,,,322791,,,,bskq-s
p15-kw-0516,,,324493,,,,bskq-e
p15-kw-0516,,,324527,,,,bsk-s
p15-kw-0516,,,328650,,,,ywbsk-s
p15-kw-0516,,,335043,,,,ywbsk-e
p15-kw-0516,,,335077,,,,bsk-e
p15-kw-0516,,,336885,,,,wtq-s
p15-kw-0516,,,338762,,,,wtq-e
p15-kw-0516,,,338797,,,,wt-s
p15-kw-0516,,,340914,,,,ywwt-s
p15-kw-0516,,,352303,,,,ywwt-e
p15-kw-0516,,,352338,,,,wt-e
p15-kw-0516,,,355456,,,,wljq-s
p15-kw-0516,,,357015,,,,wljq-e
p15-kw-0516,,,357049,,,,wlj-s
p15-kw-0516,,,360868,,,,ywwlj-s
p15-kw-0516,,,368140,,,,ywwlj-e
p15-kw-0516,,,368175,,,,wlj-e
p15-kw-0516,,,369801,,,,yzq-s
p15-kw-0516,,,371385,,,,yzq-e
p15-kw-0516,,,371419,,,,yz-s
p15-kw-0516,,,375011,,,,ywyz-s
p15-kw-0516,,,386967,,,,ywyz-e
p15-kw-0516,,,387001,,,,yz-e
