ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p18-kw-0517,,,11118,,,,bsc-s
p18-kw-0517,,,21345,,,,kgbs-s
p18-kw-0517,,,26161,,,,kgbs-e
p18-kw-0517,,,28329,,,,bsp-s
p18-kw-0517,,,51570,,,,ywbs-s
p18-kw-0517,,,66879,,,,ywbs-e
p18-kw-0517,,,66913,,,,bsp-e
p18-kw-0517,,,66947,,,,bsc-e
p18-kw-0517,,,71738,,,,kkc-s
p18-kw-0517,,,74330,,,,kgkk-s
p18-kw-0517,,,77132,,,,kgkk-e
p18-kw-0517,,,79475,,,,kkp-s
p18-kw-0517,,,106059,,,,ywkk-s
p18-kw-0517,,,117675,,,,ywkk-e
p18-kw-0517,,,117709,,,,kkp-e
p18-kw-0517,,,117744,,,,kkc-e
p18-kw-0517,,,121188,,,,kkkq-s
p18-kw-0517,,,130388,,,,kkkq-e
p18-kw-0517,,,130423,,,,kkk-s
p18-kw-0517,,,136634,,,,ywkkk-s
p18-kw-0517,,,170009,,,,ywkkk-e
p18-kw-0517,,,170043,,,,kkk-e
p18-kw-0517,,,173603,,,,xbq-s
p18-kw-0517,,,176604,,,,xbq-e
p18-kw-0517,,,176638,,,,xb-s
p18-kw-0517,,,188186,,,,ywxb-s
p18-kw-0517,,,199452,,,,ywxb-e
p18-kw-0517,,,199487,,,,xb-e
p18-kw-0517,,,201869,,,,bskq-s
p18-kw-0517,,,204043,,,,bskq-e
p18-kw-0517,,,204077,,,,bsk-s
p18-kw-0517,,,213618,,,,ywbsk-s
p18-kw-0517,,,223941,,,,ywbsk-e
p18-kw-0517,,,223976,,,,bsk-e
p18-kw-0517,,,226344,,,,yzq-s
p18-kw-0517,,,233581,,,,yzq-e
p18-kw-0517,,,233615,,,,yz-s
p18-kw-0517,,,245422,,,,ywyz-s
p18-kw-0517,,,262966,,,,ywyz-e
p18-kw-0517,,,263000,,,,yz-e
p18-kw-0517,,,265250,,,,wljq-s
p18-kw-0517,,,268650,,,,wljq-e
p18-kw-0517,,,268684,,,,wlj-s
p18-kw-0517,,,277808,,,,ywwlj-s
p18-kw-0517,,,312832,,,,ywwlj-e
p18-kw-0517,,,312867,,,,wlj-e
p18-kw-0517,,,315019,,,,wtq-s
p18-kw-0517,,,318555,,,,wtq-e
p18-kw-0517,,,318589,,,,wt-s
p18-kw-0517,,,328100,,,,ywwt-s
p18-kw-0517,,,335028,,,,ywwt-e
p18-kw-0517,,,335062,,,,wt-e
p18-kw-0517,,,336733,,,,odbq-s
p18-kw-0517,,,339565,,,,odbq-e
p18-kw-0517,,,339600,,,,odb-s
p18-kw-0517,,,346856,,,,ywodb-s
p18-kw-0517,,,355731,,,,ywodb-e
p18-kw-0517,,,355765,,,,odb-e
p18-kw-0517,,,356776,,,,ajq-s
p18-kw-0517,,,360759,,,,ajq-e
p18-kw-0517,,,360793,,,,aj-s
p18-kw-0517,,,367865,,,,ywaj-s
p18-kw-0517,,,376544,,,,ywaj-e
p18-kw-0517,,,376578,,,,aj-e
p18-kw-0517,,,377712,,,,tlsq-s
p18-kw-0517,,,379520,,,,tlsq-e
p18-kw-0517,,,379555,,,,tls-s
p18-kw-0517,,,386287,,,,ywtls-s
p18-kw-0517,,,393466,,,,ywtls-e
p18-kw-0517,,,393500,,,,tls-e
p18-kw-0517,,,395398,,,,czq-s
p18-kw-0517,,,399117,,,,czq-e
p18-kw-0517,,,399152,,,,cz-s
p18-kw-0517,,,406403,,,,ywcz-s
p18-kw-0517,,,414601,,,,ywcz-e
p18-kw-0517,,,414636,,,,cz-e
p18-kw-0517,,,416652,,,,mslaq-s
p18-kw-0517,,,420364,,,,mslaq-e
p18-kw-0517,,,420398,,,,msla-s
p18-kw-0517,,,429590,,,,ywmsla-s
p18-kw-0517,,,437433,,,,ywmsla-e
p18-kw-0517,,,437468,,,,msla-e
p18-kw-0517,,,438317,,,,amxq-s
p18-kw-0517,,,441541,,,,amxq-e
p18-kw-0517,,,441575,,,,amx-s
p18-kw-0517,,,451805,,,,ywamx-s
p18-kw-0517,,,463231,,,,ywamx-e
p18-kw-0517,,,463265,,,,amx-e
