ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p07-kw-0504,,,5324,,,,kkc-s
p07-kw-0504,,,15273,,,,kgkk-s
p07-kw-0504,,,30750,,,,kgkk-e
p07-kw-0504,,,33711,,,,kkp-s
p07-kw-0504,,,57006,,,,ywkk-s
p07-kw-0504,,,102392,,,,ywkk-e
p07-kw-0504,,,102426,,,,kkp-e
p07-kw-0504,,,102426,,,,kkc-e
p07-kw-0504,,,105890,,,,bsc-s
p07-kw-0504,,,109161,,,,kgbs-s
p07-kw-0504,,,117739,,,,bsp-s
p07-kw-0504,,,121462,,,,kgbs-e
p07-kw-0504,,,142473,,,,ywbs-s
p07-kw-0504,,,180553,,,,ywbs-e
p07-kw-0504,,,180587,,,,bsp-e
p07-kw-0504,,,180622,,,,bsc-e
p07-kw-0504,,,184607,,,,odbq-s
p07-kw-0504,,,187965,,,,odbq-e
p07-kw-0504,,,187999,,,,odb-s
p07-kw-0504,,,195965,,,,ywodb-s
p07-kw-0504,,,239628,,,,ywodb-e
p07-kw-0504,,,239662,,,,odb-e
p07-kw-0504,,,241324,,,,ajq-s
p07-kw-0504,,,242820,,,,ajq-e
p07-kw-0504,,,242855,,,,aj-s
p07-kw-0504,,,250628,,,,ywaj-s
p07-kw-0504,,,272531,,,,ywaj-e
p07-kw-0504,,,272566,,,,aj-e
p07-kw-0504,,,274447,,,,tlsq-s
p07-kw-0504,,,276039,,,,tlsq-e
p07-kw-0504,,,276073,,,,tls-s
p07-kw-0504,,,282423,,,,ywtls-s
p07-kw-0504,,,300478,,,,ywtls-e
p07-kw-0504,,,300513,,,,tls-e
p07-kw-0504,,,302772,,,,yzq-s
p07-kw-0504,,,304694,,,,yzq-e
p07-kw-0504,,,304728,,,,yz-s
p07-kw-0504,,,319084,,,,ywyz-s
p07-kw-0504,,,338168,,,,ywyz-e
p07-kw-0504,,,338202,,,,yz-e
p07-kw-0504,,,339923,,,,wljq-s
p07-kw-0504,,,341266,,,,wljq-e
p07-kw-0504,,,341300,,,,wlj-s
p07-kw-0504,,,347160,,,,ywwlj-s
p07-kw-0504,,,367006,,,,ywwlj-e
p07-kw-0504,,,367040,,,,wlj-e
p07-kw-0504,,,368725,,,,wtq-s
p07-kw-0504,,,370062,,,,wtq-e
p07-kw-0504,,,370097,,,,wt-s
p07-kw-0504,,,377633,,,,ywwt-s
p07-kw-0504,,,396747,,,,ywwt-e
p07-kw-0504,,,396781,,,,wt-e
p07-kw-0504,,,398453,,,,bskq-s
p07-kw-0504,,,400269,,,,bskq-e
p07-kw-0504,,,400304,,,,bsk-s
p07-kw-0504,,,405504,,,,ywbsk-s
p07-kw-0504,,,420885,,,,ywbsk-e
p07-kw-0504,,,420920,,,,bsk-e
p07-kw-0504,,,422728,,,,kkkq-s
p07-kw-0504,,,424008,,,,kkkq-e
p07-kw-0504,,,424042,,,,kkk-s
p07-kw-0504,,,429607,,,,ywkkk-s
p07-kw-0504,,,445487,,,,ywkkk-e
p07-kw-0504,,,445521,,,,kkk-e
p07-kw-0504,,,447672,,,,xbq-s
p07-kw-0504,,,449344,,,,xbq-e
p07-kw-0504,,,449379,,,,xb-s
p07-kw-0504,,,454675,,,,ywxb-s
p07-kw-0504,,,477944,,,,ywxb-e
p07-kw-0504,,,477978,,,,xb-e
p07-kw-0504,,,479445,,,,czq-s
p07-kw-0504,,,507118,,,,czq-e
p07-kw-0504,,,507153,,,,cz-s
p07-kw-0504,,,514574,,,,ywcz-s
p07-kw-0504,,,533692,,,,ywcz-e
p07-kw-0504,,,533726,,,,cz-e
p07-kw-0504,,,535563,,,,amxq-s
p07-kw-0504,,,539123,,,,amxq-e
p07-kw-0504,,,539157,,,,amx-s
p07-kw-0504,,,547046,,,,ywamx-s
p07-kw-0504,,,563598,,,,ywamx-e
p07-kw-0504,,,563633,,,,amx-e
p07-kw-0504,,,565096,,,,mslaq-s
p07-kw-0504,,,568481,,,,mslaq-e
p07-kw-0504,,,568515,,,,msla-s
p07-kw-0504,,,579020,,,,ywmsla-s
p07-kw-0504,,,592285,,,,ywmsla-e
p07-kw-0504,,,592319,,,,msla-e
