RecordingName,,,RecordingTimestamp,StudioEvent,,,StudioEventData
p21-kw-0601,,,23480,Default,,,kkc-s
p21-kw-0601,,,29455,Default,,,kgkk-s
p21-kw-0601,,,33236,Default,,,kgkk-e
p21-kw-0601,,,34700,Default,,,kkp-s
p21-kw-0601,,,79916,Default,,,ywkk-s
p21-kw-0601,,,156146,Default,,,ywkk-e
p21-kw-0601,,,156146,Default,,,kkp-e
p21-kw-0601,,,156181,Default,,,kkc-e
p21-kw-0601,,,181939,Default,,,bsc-s
p21-kw-0601,,,189028,Default,,,kgbs-s
p21-kw-0601,,,193488,Default,,,kgbs-e
p21-kw-0601,,,197289,Default,,,bsp-s
p21-kw-0601,,,307168,Default,,,ywbs-s
p21-kw-0601,,,413797,Default,,,ywbs-e
p21-kw-0601,,,413865,Default,,,bsp-e
p21-kw-0601,,,413934,Default,,,bsc-e
p21-kw-0601,,,429653,Default,,,yzq-s
p21-kw-0601,,,435112,Default,,,yzq-e
p21-kw-0601,,,435181,Default,,,yz-s
p21-kw-0601,,,462368,Default,,,ywyz-s
p21-kw-0601,,,588465,Default,,,ywyz-e
p21-kw-0601,,,588533,Default,,,yz-e
p21-kw-0601,,,598292,Default,,,wtq-s
p21-kw-0601,,,600708,Default,,,wtq-e
p21-kw-0601,,,600777,Default,,,wt-s
p21-kw-0601,,,627652,Default,,,ywwt-s
p21-kw-0601,,,851839,Default,,,ywwt-e
p21-kw-0601,,,851907,Default,,,wt-e
p21-kw-0601,,,867049,Default,,,wljq-s
p21-kw-0601,,,871672,Default,,,wljq-e
p21-kw-0601,,,871741,Default,,,wlj-s
p21-kw-0601,,,914446,Default,,,ywwlj-s
p21-kw-0601,,,1145015,Default,,,ywwlj-e
p21-kw-0601,,,1145083,Default,,,wlj-e
p21-kw-0601,,,1161023,Default,,,mslaq-s
p21-kw-0601,,,1182064,Default,,,mslaq-e
p21-kw-0601,,,1182133,Default,,,msla-s
p21-kw-0601,,,1225738,Default,,,ywmsla-s
p21-kw-0601,,,1432435,Default,,,ywmsla-e
p21-kw-0601,,,1432503,Default,,,msla-e
p21-kw-0601,,,1441057,Default,,,czq-s
p21-kw-0601,,,1445368,Default,,,czq-e
p21-kw-0601,,,1445436,Default,,,cz-s
p21-kw-0601,,,1530570,Default,,,ywcz-s
p21-kw-0601,,,1734190,Default,,,ywcz-e
p21-kw-0601,,,1734259,Default,,,cz-e
p21-kw-0601,,,1741599,Default,,,amxq-s
p21-kw-0601,,,1748245,Default,,,amxq-e
p21-kw-0601,,,1748279,Default,,,amx-s
p21-kw-0601,,,1801115,Default,,,ywamx-s
p21-kw-0601,,,1927295,Default,,,ywamx-e
p21-kw-0601,,,1927329,Default,,,amx-e
p21-kw-0601,,,1934968,Default,,,tlsq-s
p21-kw-0601,,,1938983,Default,,,tlsq-e
p21-kw-0601,,,1939051,Default,,,tls-s
p21-kw-0601,,,1972320,Default,,,ywtls-s
p21-kw-0601,,,2081897,Default,,,ywtls-e
p21-kw-0601,,,2081931,Default,,,tls-e
p21-kw-0601,,,2089825,Default,,,odbq-s
p21-kw-0601,,,2093987,Default,,,odbq-e
p21-kw-0601,,,2094021,Default,,,odb-s
p21-kw-0601,,,2126954,Default,,,ywodb-s
p21-kw-0601,,,2252025,Default,,,ywodb-e
p21-kw-0601,,,2252059,Default,,,odb-e
p21-kw-0601,,,2259751,Default,,,ajq-s
p21-kw-0601,,,2264554,Default,,,ajq-e
p21-kw-0601,,,2264623,Default,,,aj-s
p21-kw-0601,,,2289717,Default,,,ywaj-s
p21-kw-0601,,,2366155,Default,,,ywaj-e
p21-kw-0601,,,2366189,Default,,,aj-e
p21-kw-0601,,,2372928,Default,,,xbq-s
p21-kw-0601,,,2376272,Default,,,xbq-e
p21-kw-0601,,,2376306,Default,,,xb-s
p21-kw-0601,,,2402587,Default,,,ywxb-s
p21-kw-0601,,,2544978,Default,,,ywxb-e
p21-kw-0601,,,2545012,Default,,,xb-e
p21-kw-0601,,,2553209,Default,,,bskq-s
p21-kw-0601,,,2556105,Default,,,bskq-e
p21-kw-0601,,,2556140,Default,,,bsk-s
p21-kw-0601,,,2582316,Default,,,ywbsk-s
p21-kw-0601,,,2713808,Default,,,ywbsk-e
p21-kw-0601,,,2713842,Default,,,bsk-e
p21-kw-0601,,,2719463,Default,,,kkkq-s
p21-kw-0601,,,2721282,Default,,,kkkq-e
p21-kw-0601,,,2721316,Default,,,kkk-s
p21-kw-0601,,,2745565,Default,,,ywkkk-s
p21-kw-0601,,,2812959,Default,,,ywkkk-e
p21-kw-0601,,,2812993,Default,,,kkk-e
