ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p04-kw-0503,,,3718,,,,bsc-s
p04-kw-0503,,,44615,,,,kgbs-s
p04-kw-0503,,,53123,,,,kgbs-e
p04-kw-0503,,,57859,,,,bsp-s
p04-kw-0503,,,78824,,,,ywbs-s
p04-kw-0503,,,102898,,,,ywbs-e
p04-kw-0503,,,102932,,,,bsp-e
p04-kw-0503,,,102966,,,,bsc-e
p04-kw-0503,,,105569,,,,kkc-s
p04-kw-0503,,,123110,,,,kgkk-s
p04-kw-0503,,,131103,,,,kgkk-e
p04-kw-0503,,,135399,,,,kkp-s
p04-kw-0503,,,154301,,,,ywkk-s
p04-kw-0503,,,170121,,,,ywkk-e
p04-kw-0503,,,170155,,,,kkp-e
p04-kw-0503,,,170190,,,,kkc-e
p04-kw-0503,,,173182,,,,mslaq-s
p04-kw-0503,,,178225,,,,mslaq-e
p04-kw-0503,,,178259,,,,msla-s
p04-kw-0503,,,186850,,,,ywmsla-s
p04-kw-0503,,,201095,,,,ywmsla-e
p04-kw-0503,,,201129,,,,msla-e
p04-kw-0503,,,202903,,,,amxq-s
p04-kw-0503,,,206745,,,,amxq-e
p04-kw-0503,,,206779,,,,amx-s
p04-kw-0503,,,220720,,,,ywamx-s
p04-kw-0503,,,229320,,,,ywamx-e
p04-kw-0503,,,229355,,,,amx-e
p04-kw-0503,,,230738,,,,czq-s
p04-kw-0503,,,233570,,,,czq-e
p04-kw-0503,,,233604,,,,cz-s
p04-kw-0503,,,240042,,,,ywcz-s
p04-kw-0503,,,254579,,,,ywcz-e
p04-kw-0503,,,254613,,,,cz-e
p04-kw-0503,,,256291,,,,tlsq-s
p04-kw-0503,,,259470,,,,tlsq-e
p04-kw-0503,,,259505,,,,tls-s
p04-kw-0503,,,264442,,,,ywtls-s
p04-kw-0503,,,274977,,,,ywtls-e
p04-kw-0503,,,275011,,,,tls-e
p04-kw-0503,,,277056,,,,ajq-s
p04-kw-0503,,,280587,,,,ajq-e
p04-kw-0503,,,280621,,,,aj-s
p04-kw-0503,,,289428,,,,ywaj-s
p04-kw-0503,,,301810,,,,ywaj-e
p04-kw-0503,,,301845,,,,aj-e
p04-kw-0503,,,303195,,,,odbq-s
p04-kw-0503,,,305883,,,,odbq-e
p04-kw-0503,,,305917,,,,odb-s
p04-kw-0503,,,308329,,,,ywodb-s
p04-kw-0503,,,319378,,,,ywodb-e
p04-kw-0503,,,319412,,,,odb-e
p04-kw-0503,,,321180,,,,wljq-s
p04-kw-0503,,,323539,,,,wljq-e
p04-kw-0503,,,323574,,,,wlj-s
p04-kw-0503,,,328307,,,,ywwlj-s
p04-kw-0503,,,336861,,,,ywwlj-e
p04-kw-0503,,,336895,,,,wlj-e
p04-kw-0503,,,338162,,,,wtq-s
p04-kw-0503,,,340520,,,,wtq-e
p04-kw-0503,,,340554,,,,wt-s
p04-kw-0503,,,344277,,,,ywwt-s
p04-kw-0503,,,353616,,,,ywwt-e
p04-kw-0503,,,353650,,,,wt-e
p04-kw-0503,,,354749,,,,yzq-s
p04-kw-0503,,,356769,,,,yzq-e
p04-kw-0503,,,356803,,,,yz-s
p04-kw-0503,,,360726,,,,ywyz-s
p04-kw-0503,,,370028,,,,ywyz-e
p04-kw-0503,,,370063,,,,yz-e
p04-kw-0503,,,371007,,,,kkkq-s
p04-kw-0503,,,373077,,,,kkkq-e
p04-kw-0503,,,373111,,,,kkk-s
p04-kw-0503,,,377484,,,,ywkkk-s
p04-kw-0503,,,386372,,,,ywkkk-e
p04-kw-0503,,,386406,,,,kkk-e
p04-kw-0503,,,388776,,,,bskq-s
p04-kw-0503,,,390571,,,,bskq-e
p04-kw-0503,,,390606,,,,bsk-s
p04-kw-0503,,,395800,,,,ywbsk-s
p04-kw-0503,,,404055,,,,ywbsk-e
p04-kw-0503,,,404089,,,,bsk-e
p04-kw-0503,,,405650,,,,xbq-s
p04-kw-0503,,,407481,,,,xbq-e
p04-kw-0503,,,407515,,,,xb-s
p04-kw-0503,,,411183,,,,ywxb-s
p04-kw-0503,,,419001,,,,ywxb-e
p04-kw-0503,,,419035,,,,xb-e
