ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p20-kw-0522,,,14985,,,,bsc-s
p20-kw-0522,,,17111,,,,kgbs-s
p20-kw-0522,,,32888,,,,kgbs-e
p20-kw-0522,,,35783,,,,bsp-s
p20-kw-0522,,,67834,,,,ywbs-s
p20-kw-0522,,,148466,,,,ywbs-e
p20-kw-0522,,,148500,,,,bsp-e
p20-kw-0522,,,148535,,,,bsc-e
p20-kw-0522,,,155203,,,,kkc-s
p20-kw-0522,,,157355,,,,kgkk-s
p20-kw-0522,,,189871,,,,kgkk-e
p20-kw-0522,,,192103,,,,kkp-s
p20-kw-0522,,,236629,,,,ywkk-s
p20-kw-0522,,,341885,,,,ywkk-e
p20-kw-0522,,,341919,,,,kkp-e
p20-kw-0522,,,341954,,,,kkc-e
p20-kw-0522,,,372696,,,,amxq-s
p20-kw-0522,,,387706,,,,amxq-e
p20-kw-0522,,,387741,,,,amx-s
p20-kw-0522,,,403766,,,,ywamx-s
p20-kw-0522,,,462700,,,,ywamx-e
p20-kw-0522,,,462734,,,,amx-e
p20-kw-0522,,,469679,,,,czq-s
p20-kw-0522,,,472110,,,,czq-e
p20-kw-0522,,,472145,,,,cz-s
p20-kw-0522,,,491627,,,,ywcz-s
p20-kw-0522,,,548182,,,,ywcz-e
p20-kw-0522,,,548216,,,,cz-e
p20-kw-0522,,,555196,,,,mslaq-s
p20-kw-0522,,,565542,,,,mslaq-e
p20-kw-0522,,,565576,,,,msla-s
p20-kw-0522,,,575284,,,,ywmsla-s
p20-kw-0522,,,638370,,,,ywmsla-e
p20-kw-0522,,,638404,,,,msla-e
p20-kw-0522,,,646994,,,,wtq-s
p20-kw-0522,,,650858,,,,wtq-e
p20-kw-0522,,,650893,,,,wt-s
p20-kw-0522,,,663626,,,,ywwt-s
p20-kw-0522,,,710943,,,,ywwt-e
p20-kw-0522,,,710977,,,,wt-e
p20-kw-0522,,,719041,,,,yzq-s
p20-kw-0522,,,721721,,,,yzq-e
p20-kw-0522,,,721755,,,,yz-s
p20-kw-0522,,,729279,,,,ywyz-s
p20-kw-0522,,,836766,,,,ywyz-e
p20-kw-0522,,,836800,,,,yz-e
p20-kw-0522,,,845954,,,,wljq-s
p20-kw-0522,,,847814,,,,wljq-e
p20-kw-0522,,,847848,,,,wlj-s
p20-kw-0522,,,855467,,,,ywwlj-s
p20-kw-0522,,,894148,,,,ywwlj-e
p20-kw-0522,,,894182,,,,wlj-e
p20-kw-0522,,,903655,,,,xbq-s
p20-kw-0522,,,905315,,,,xbq-e
p20-kw-0522,,,905350,,,,xb-s
p20-kw-0522,,,912625,,,,ywxb-s
p20-kw-0522,,,945033,,,,ywxb-e
p20-kw-0522,,,945067,,,,xb-e
p20-kw-0522,,,956711,,,,bskq-s
p20-kw-0522,,,957731,,,,bskq-e
p20-kw-0522,,,957765,,,,bsk-s
p20-kw-0522,,,962107,,,,ywbsk-s
p20-kw-0522,,,994708,,,,ywbsk-e
p20-kw-0522,,,994743,,,,bsk-e
p20-kw-0522,,,997338,,,,kkkq-s
p20-kw-0522,,,999272,,,,kkkq-e
p20-kw-0522,,,999306,,,,kkk-s
p20-kw-0522,,,1002380,,,,ywkkk-s
p20-kw-0522,,,1027839,,,,ywkkk-e
p20-kw-0522,,,1027873,,,,kkk-e
p20-kw-0522,,,1032564,,,,ajq-s
p20-kw-0522,,,1034003,,,,ajq-e
p20-kw-0522,,,1034038,,,,aj-s
p20-kw-0522,,,1042015,,,,ywaj-s
p20-kw-0522,,,1068840,,,,ywaj-e
p20-kw-0522,,,1068874,,,,aj-e
p20-kw-0522,,,1070794,,,,odbq-s
p20-kw-0522,,,1071817,,,,odbq-e
p20-kw-0522,,,1071851,,,,odb-s
p20-kw-0522,,,1079876,,,,ywodb-s
p20-kw-0522,,,1104993,,,,ywodb-e
p20-kw-0522,,,1105028,,,,odb-e
p20-kw-0522,,,1107789,,,,tlsq-s
p20-kw-0522,,,1108778,,,,tlsq-e
p20-kw-0522,,,1108813,,,,tls-s
p20-kw-0522,,,1120296,,,,ywtls-s
p20-kw-0522,,,1167650,,,,ywtls-e
p20-kw-0522,,,1167685,,,,tls-e
