RecordingName,,,RecordingTimestamp,StudioEvent,,,StudioEventData
p12-kw-0516,,,5469,Default,,,bsc-s
p12-kw-0516,,,14517,Default,,,kgbs-s
p12-kw-0516,,,23496,Default,,,kgbs-e
p12-kw-0516,,,26533,Default,,,bsp-s
p12-kw-0516,,,37144,Default,,,ywbs-s
p12-kw-0516,,,73423,Default,,,ywbs-e
p12-kw-0516,,,73491,Default,,,bsp-e
p12-kw-0516,,,73526,Default,,,bsc-e
p12-kw-0516,,,75379,Default,,,kkc-s
p12-kw-0516,,,78809,Default,,,kgkk-s
p12-kw-0516,,,83528,Default,,,kgkk-e
p12-kw-0516,,,85288,Default,,,kkp-s
p12-kw-0516,,,107232,Default,,,ywkk-s
p12-kw-0516,,,168544,Default,,,ywkk-e
p12-kw-0516,,,168578,Default,,,kkp-e
p12-kw-0516,,,168612,Default,,,kkc-e
p12-kw-0516,,,192057,Default,,,ajq-s
p12-kw-0516,,,197373,Default,,,ajq-e
p12-kw-0516,,,197408,Default,,,aj-s
p12-kw-0516,,,206856,Default,,,ywaj-s
p12-kw-0516,,,226834,Default,,,ywaj-e
p12-kw-0516,,,226868,Default,,,aj-e
p12-kw-0516,,,232380,Default,,,tlsq-s
p12-kw-0516,,,233987,Default,,,tlsq-e
p12-kw-0516,,,234021,Default,,,tls-s
p12-kw-0516,,,243390,Default,,,ywtls-s
p12-kw-0516,,,282026,Default,,,ywtls-e
p12-kw-0516,,,282061,Default,,,tls-e
p12-kw-0516,,,284566,Default,,,odbq-s
p12-kw-0516,,,285950,Default,,,odbq-e
p12-kw-0516,,,285984,Default,,,odb-s
p12-kw-0516,,,290484,Default,,,ywodb-s
p12-kw-0516,,,309458,Default,,,ywodb-e
p12-kw-0516,,,309492,Default,,,odb-e
p12-kw-0516,,,313605,Default,,,xbq-s
p12-kw-0516,,,315405,Default,,,xbq-e
p12-kw-0516,,,315439,Default,,,xb-s
p12-kw-0516,,,316809,Default,,,ywxb-s
p12-kw-0516,,,343370,Default,,,ywxb-e
p12-kw-0516,,,343404,Default,,,xb-e
p12-kw-0516,,,348596,Default,,,bskq-s
p12-kw-0516,,,350676,Default,,,bskq-e
p12-kw-0516,,,350710,Default,,,bsk-s
p12-kw-0516,,,352293,Default,,,ywbsk-s
p12-kw-0516,,,374026,Default,,,ywbsk-e
p12-kw-0516,,,374061,Default,,,bsk-e
p12-kw-0516,,,377272,Default,,,kkkq-s
p12-kw-0516,,,378473,Default,,,kkkq-e
p12-kw-0516,,,378507,Default,,,kkk-s
p12-kw-0516,,,380102,Default,,,ywkkk-s
p12-kw-0516,,,403506,Default,,,ywkkk-e
p12-kw-0516,,,403540,Default,,,kkk-e
p12-kw-0516,,,408235,Default,,,mslaq-s
p12-kw-0516,,,412785,Default,,,mslaq-e
p12-kw-0516,,,412819,Default,,,msla-s
p12-kw-0516,,,424043,Default,,,ywmsla-s
p12-kw-0516,,,453971,Default,,,ywmsla-e
p12-kw-0516,,,454006,Default,,,msla-e
p12-kw-0516,,,456772,Default,,,amxq-s
p12-kw-0516,,,461181,Default,,,amxq-e
p12-kw-0516,,,461215,Default,,,amx-s
p12-kw-0516,,,469342,Default,,,ywamx-s
p12-kw-0516,,,505229,Default,,,ywamx-e
p12-kw-0516,,,505264,Default,,,amx-e
p12-kw-0516,,,507401,Default,,,czq-s
p12-kw-0516,,,510342,Default,,,czq-e
p12-kw-0516,,,510377,Default,,,cz-s
p12-kw-0516,,,521034,Default,,,ywcz-s
p12-kw-0516,,,556962,Default,,,ywcz-e
p12-kw-0516,,,556996,Default,,,cz-e
p12-kw-0516,,,560164,Default,,,wtq-s
p12-kw-0516,,,562856,Default,,,wtq-e
p12-kw-0516,,,562890,Default,,,wt-s
p12-kw-0516,,,564749,Default,,,ywwt-s
p12-kw-0516,,,596241,Default,,,ywwt-e
p12-kw-0516,,,596276,Default,,,wt-e
p12-kw-0516,,,599205,Default,,,yzq-s
p12-kw-0516,,,601389,Default,,,yzq-e
p12-kw-0516,,,601423,Default,,,yz-s
p12-kw-0516,,,607422,Default,,,ywyz-s
p12-kw-0516,,,635532,Default,,,ywyz-e
p12-kw-0516,,,635566,Default,,,yz-e
p12-kw-0516,,,639155,Default,,,wljq-s
p12-kw-0516,,,641208,Default,,,wljq-e
p12-kw-0516,,,641242,Default,,,wlj-s
p12-kw-0516,,,671365,Default,,,ywwlj-s
p12-kw-0516,,,714796,Default,,,ywwlj-e
p12-kw-0516,,,714830,Default,,,wlj-e
