ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p05-kw-0503,,,7015,,,,kkc-s
p05-kw-0503,,,17944,,,,kgkk-s
p05-kw-0503,,,22218,,,,kgkk-e
p05-kw-0503,,,25547,,,,kkp-s
p05-kw-0503,,,77950,,,,ywkk-s
p05-kw-0503,,,106202,,,,ywkk-e
p05-kw-0503,,,106236,,,,kkp-e
p05-kw-0503,,,106270,,,,kkc-e
p05-kw-0503,,,108670,,,,bsc-s
p05-kw-0503,,,112469,,,,kgbs-s
p05-kw-0503,,,120629,,,,kgbs-e
p05-kw-0503,,,124930,,,,bsp-s
p05-kw-0503,,,143624,,,,ywbs-s
p05-kw-0503,,,158223,,,,ywbs-e
p05-kw-0503,,,158258,,,,bsp-e
p05-kw-0503,,,158292,,,,bsc-e
p05-kw-0503,,,163174,,,,bskq-s
p05-kw-0503,,,165230,,,,bskq-e
p05-kw-0503,,,165264,,,,bsk-s
p05-kw-0503,,,173400,,,,ywbsk-s
p05-kw-0503,,,184304,,,,ywbsk-e
p05-kw-0503,,,184339,,,,bsk-e
p05-kw-0503,,,186122,,,,xbq-s
p05-kw-0503,,,187921,,,,xbq-e
p05-kw-0503,,,187955,,,,xb-s
p05-kw-0503,,,196087,,,,ywxb-s
p05-kw-0503,,,202669,,,,ywxb-e
p05-kw-0503,,,202703,,,,xb-e
p05-kw-0503,,,203782,,,,kkkq-s
p05-kw-0503,,,206902,,,,kkkq-e
p05-kw-0503,,,206937,,,,kkk-s
p05-kw-0503,,,211794,,,,ywkkk-s
p05-kw-0503,,,220841,,,,ywkkk-e
p05-kw-0503,,,220876,,,,kkk-e
p05-kw-0503,,,222404,,,,amxq-s
p05-kw-0503,,,225821,,,,amxq-e
p05-kw-0503,,,225855,,,,amx-s
p05-kw-0503,,,240216,,,,ywamx-s
p05-kw-0503,,,246216,,,,ywamx-e
p05-kw-0503,,,246250,,,,amx-e
p05-kw-0503,,,247066,,,,czq-s
p05-kw-0503,,,249946,,,,czq-e
p05-kw-0503,,,249981,,,,cz-s
p05-kw-0503,,,257413,,,,ywcz-s
p05-kw-0503,,,262885,,,,ywcz-e
p05-kw-0503,,,262919,,,,cz-e
p05-kw-0503,,,264013,,,,mslaq-s
p05-kw-0503,,,267361,,,,mslaq-e
p05-kw-0503,,,267395,,,,msla-s
p05-kw-0503,,,278310,,,,ywmsla-s
p05-kw-0503,,,284949,,,,ywmsla-e
p05-kw-0503,,,284984,,,,msla-e
p05-kw-0503,,,286264,,,,ajq-s
p05-kw-0503,,,288907,,,,ajq-e
p05-kw-0503,,,288941,,,,aj-s
p05-kw-0503,,,302660,,,,ywaj-s
p05-kw-0503,,,309784,,,,ywaj-e
p05-kw-0503,,,309819,,,,aj-e
p05-kw-0503,,,328486,,,,tlsq-s
p05-kw-0503,,,330974,,,,tlsq-e
p05-kw-0503,,,331008,,,,tls-s
p05-kw-0503,,,342009,,,,ywtls-s
p05-kw-0503,,,349288,,,,ywtls-e
p05-kw-0503,,,349323,,,,tls-e
p05-kw-0503,,,350730,,,,odbq-s
p05-kw-0503,,,353114,,,,odbq-e
p05-kw-0503,,,353148,,,,odb-s
p05-kw-0503,,,366727,,,,ywodb-s
p05-kw-0503,,,371416,,,,ywodb-e
p05-kw-0503,,,371450,,,,odb-e
p05-kw-0503,,,371484,,,,yzq-s
p05-kw-0503,,,374308,,,,yzq-e
p05-kw-0503,,,374343,,,,yz-s
p05-kw-0503,,,388373,,,,ywyz-s
p05-kw-0503,,,392356,,,,ywyz-e
p05-kw-0503,,,392391,,,,yz-e
p05-kw-0503,,,393482,,,,wtq-s
p05-kw-0503,,,396729,,,,wtq-e
p05-kw-0503,,,396763,,,,wt-s
p05-kw-0503,,,404060,,,,ywwt-s
p05-kw-0503,,,410574,,,,ywwt-e
p05-kw-0503,,,410609,,,,wt-e
p05-kw-0503,,,411855,,,,wljq-s
p05-kw-0503,,,414902,,,,wljq-e
p05-kw-0503,,,414936,,,,wlj-s
p05-kw-0503,,,427953,,,,ywwlj-s
p05-kw-0503,,,434669,,,,ywwlj-e
p05-kw-0503,,,434703,,,,wlj-e
