RecordingName,,,RecordingTimestamp,StudioEvent,,,StudioEventData
p11-kw-0515,,,38775,Default,,,kkc-s
p11-kw-0515,,,47200,Default,,,kgkk-s
p11-kw-0515,,,58718,Default,,,kgkk-e
p11-kw-0515,,,68216,Default,,,kkp-s
p11-kw-0515,,,131103,Default,,,ywkk-s
p11-kw-0515,,,191684,Default,,,ywkk-e
p11-kw-0515,,,191719,Default,,,kkp-e
p11-kw-0515,,,191753,Default,,,kkc-e
p11-kw-0515,,,203999,Default,,,bsc-s
p11-kw-0515,,,219800,Default,,,kgbs-s
p11-kw-0515,,,233128,Default,,,kgbs-e
p11-kw-0515,,,247151,Default,,,bsp-s
p11-kw-0515,,,296347,Default,,,ywbs-s
p11-kw-0515,,,419237,Default,,,ywbs-e
p11-kw-0515,,,419271,Default,,,bsp-e
p11-kw-0515,,,419306,Default,,,bsc-e
p11-kw-0515,,,430532,Default,,,amxq-s
p11-kw-0515,,,431937,Default,,,amxq-e
p11-kw-0515,,,431971,Default,,,amx-s
p11-kw-0515,,,456182,Default,,,ywamx-s
p11-kw-0515,,,499278,Default,,,ywamx-e
p11-kw-0515,,,499312,Default,,,amx-e
p11-kw-0515,,,506118,Default,,,czq-s
p11-kw-0515,,,517046,Default,,,czq-e
p11-kw-0515,,,517080,Default,,,cz-s
p11-kw-0515,,,529529,Default,,,ywcz-s
p11-kw-0515,,,566986,Default,,,ywcz-e
p11-kw-0515,,,567020,Default,,,cz-e
p11-kw-0515,,,573092,Default,,,mslaq-s
p11-kw-0515,,,576717,Default,,,mslaq-e
p11-kw-0515,,,576752,Default,,,msla-s
p11-kw-0515,,,585504,Default,,,ywmsla-s
p11-kw-0515,,,624496,Default,,,ywmsla-e
p11-kw-0515,,,624531,Default,,,msla-e
p11-kw-0515,,,631524,Default,,,wtq-s
p11-kw-0515,,,635893,Default,,,wtq-e
p11-kw-0515,,,635927,Default,,,wt-s
p11-kw-0515,,,644348,Default,,,ywwt-s
p11-kw-0515,,,682286,Default,,,ywwt-e
p11-kw-0515,,,682321,Default,,,wt-e
p11-kw-0515,,,688533,Default,,,wljq-s
p11-kw-0515,,,692136,Default,,,wljq-e
p11-kw-0515,,,692170,Default,,,wlj-s
p11-kw-0515,,,695770,Default,,,ywwlj-s
p11-kw-0515,,,736129,Default,,,ywwlj-e
p11-kw-0515,,,736164,Default,,,wlj-e
p11-kw-0515,,,745826,Default,,,yzq-s
p11-kw-0515,,,751609,Default,,,yzq-e
p11-kw-0515,,,751643,Default,,,yz-s
p11-kw-0515,,,760539,Default,,,ywyz-s
p11-kw-0515,,,789517,Default,,,ywyz-e
p11-kw-0515,,,789552,Default,,,yz-e
p11-kw-0515,,,799608,Default,,,xbq-s
p11-kw-0515,,,806527,Default,,,xbq-e
p11-kw-0515,,,806561,Default,,,xb-s
p11-kw-0515,,,811875,Default,,,ywxb-s
p11-kw-0515,,,835091,Default,,,ywxb-e
p11-kw-0515,,,835126,Default,,,xb-e
p11-kw-0515,,,838575,Default,,,bskq-s
p11-kw-0515,,,843432,Default,,,bskq-e
p11-kw-0515,,,843466,Default,,,bsk-s
p11-kw-0515,,,847615,Default,,,ywbsk-s
p11-kw-0515,,,868537,Default,,,ywbsk-e
p11-kw-0515,,,868572,Default,,,bsk-e
p11-kw-0515,,,875711,Default,,,kkkq-s
p11-kw-0515,,,879833,Default,,,kkkq-e
p11-kw-0515,,,879867,Default,,,kkk-s
p11-kw-0515,,,888362,Default,,,ywkkk-s
p11-kw-0515,,,917789,Default,,,ywkkk-e
p11-kw-0515,,,917824,Default,,,kkk-e
p11-kw-0515,,,923591,Default,,,odbq-s
p11-kw-0515,,,927951,Default,,,odbq-e
p11-kw-0515,,,927986,Default,,,odb-s
p11-kw-0515,,,958273,Default,,,ywodb-s
p11-kw-0515,,,980559,Default,,,ywodb-e
p11-kw-0515,,,980593,Default,,,odb-e
p11-kw-0515,,,990563,Default,,,tlsq-s
p11-kw-0515,,,992920,Default,,,tlsq-e
p11-kw-0515,,,992955,Default,,,tls-s
p11-kw-0515,,,1004280,Default,,,ywtls-s
p11-kw-0515,,,1026464,Default,,,ywtls-e
p11-kw-0515,,,1026498,Default,,,tls-e
p11-kw-0515,,,1033273,Default,,,ajq-s
p11-kw-0515,,,1035333,Default,,,ajq-e
p11-kw-0515,,,1035367,Default,,,aj-s
p11-kw-0515,,,1041815,Default,,,ywaj-s
p11-kw-0515,,,1084071,Default,,,ywaj-e
p11-kw-0515,,,1084105,Default,,,aj-e
