ParticipantName,,,RecordingTimestamp,,,,StudioEventData
p06-kw-0503,,,11170,,,,bsc-s
p06-kw-0503,,,21826,,,,kgbs-s
p06-kw-0503,,,30427,,,,kgbs-e
p06-kw-0503,,,34547,,,,bsp-s
p06-kw-0503,,,89591,,,,ywbs-s
p06-kw-0503,,,104098,,,,ywbs-e
p06-kw-0503,,,104132,,,,bsp-e
p06-kw-0503,,,104166,,,,bsc-e
p06-kw-0503,,,120831,,,,kkc-s
p06-kw-0503,,,123674,,,,kgkk-s
p06-kw-0503,,,133522,,,,kgkk-e
p06-kw-0503,,,134999,,,,kkp-s
p06-kw-0503,,,141563,,,,ywkk-s
p06-kw-0503,,,167851,,,,ywkk-e
p06-kw-0503,,,167885,,,,kkp-e
p06-kw-0503,,,167920,,,,kkc-e
p06-kw-0503,,,199816,,,,wtq-s
p06-kw-0503,,,201582,,,,wtq-e
p06-kw-0503,,,201616,,,,wt-s
p06-kw-0503,,,205031,,,,ywwt-s
p06-kw-0503,,,229526,,,,ywwt-e
p06-kw-0503,,,229561,,,,wt-e
p06-kw-0503,,,252713,,,,yzq-s
p06-kw-0503,,,254929,,,,yzq-e
p06-kw-0503,,,254963,,,,yz-s
p06-kw-0503,,,259754,,,,ywyz-s
p06-kw-0503,,,274842,,,,ywyz-e
p06-kw-0503,,,274876,,,,yz-e
p06-kw-0503,,,288620,,,,wljq-s
p06-kw-0503,,,291510,,,,wljq-e
p06-kw-0503,,,291545,,,,wlj-s
p06-kw-0503,,,296281,,,,ywwlj-s
p06-kw-0503,,,311712,,,,ywwlj-e
p06-kw-0503,,,311747,,,,wlj-e
p06-kw-0503,,,318366,,,,kkkq-s
p06-kw-0503,,,321469,,,,kkkq-e
p06-kw-0503,,,321503,,,,kkk-s
p06-kw-0503,,,325677,,,,ywkkk-s
p06-kw-0503,,,339118,,,,ywkkk-e
p06-kw-0503,,,339152,,,,kkk-e
p06-kw-0503,,,351279,,,,xbq-s
p06-kw-0503,,,354219,,,,xbq-e
p06-kw-0503,,,354253,,,,xb-s
p06-kw-0503,,,357803,,,,ywxb-s
p06-kw-0503,,,370603,,,,ywxb-e
p06-kw-0503,,,370638,,,,xb-e
p06-kw-0503,,,383900,,,,bskq-s
p06-kw-0503,,,386634,,,,bskq-e
p06-kw-0503,,,386668,,,,bsk-s
p06-kw-0503,,,391723,,,,ywbsk-s
p06-kw-0503,,,400053,,,,ywbsk-e
p06-kw-0503,,,400087,,,,bsk-e
p06-kw-0503,,,420287,,,,amxq-s
p06-kw-0503,,,423855,,,,amxq-e
p06-kw-0503,,,423889,,,,amx-s
p06-kw-0503,,,427990,,,,ywamx-s
p06-kw-0503,,,451064,,,,ywamx-e
p06-kw-0503,,,451098,,,,amx-e
p06-kw-0503,,,452000,,,,mslaq-s
p06-kw-0503,,,455904,,,,mslaq-e
p06-kw-0503,,,455939,,,,msla-s
p06-kw-0503,,,458720,,,,ywmsla-s
p06-kw-0503,,,484103,,,,ywmsla-e
p06-kw-0503,,,484137,,,,msla-e
p06-kw-0503,,,487200,,,,czq-s
p06-kw-0503,,,490792,,,,czq-e
p06-kw-0503,,,490827,,,,cz-s
p06-kw-0503,,,495359,,,,ywcz-s
p06-kw-0503,,,513263,,,,ywcz-e
p06-kw-0503,,,513298,,,,cz-e
p06-kw-0503,,,520373,,,,ajq-s
p06-kw-0503,,,523706,,,,ajq-e
p06-kw-0503,,,523740,,,,aj-s
p06-kw-0503,,,526832,,,,ywaj-s
p06-kw-0503,,,543830,,,,ywaj-e
p06-kw-0503,,,543864,,,,aj-e
p06-kw-0503,,,550193,,,,odbq-s
p06-kw-0503,,,553081,,,,odbq-e
p06-kw-0503,,,553116,,,,odb-s
p06-kw-0503,,,556850,,,,ywodb-s
p06-kw-0503,,,581380,,,,ywodb-e
p06-kw-0503,,,581415,,,,odb-e
p06-kw-0503,,,585191,,,,tlsq-s
p06-kw-0503,,,587518,,,,tlsq-e
p06-kw-0503,,,587552,,,,tls-s
p06-kw-0503,,,590847,,,,ywtls-s
p06-kw-0503,,,618104,,,,ywtls-e
p06-kw-0503,,,618139,,,,tls-e
